Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
25156,25156,0,433,6,6,16,-51,-91,-52,0,0
25157,25157,0,433,6,6,16,-51,-91,-52,0,0
25158,25158,0,433,6,6,16,-51,-91,-52,0,0
25159,25159,0,433,6,6,16,-129,-58,-52,0,1
25160,25160,0,433,6,6,16,-129,-58,-52,0,0
25161,25161,0,433,6,6,16,-129,-58,-52,0,0
25162,25162,0,433,6,6,-53,-129,-58,-37,0,0
25163,25163,0,-300,-19,-19,-53,-129,-58,-37,1,0
25164,25164,0,-300,-19,-19,-53,-175,-26,-37,0,1
25165,25165,0,-300,-19,-19,-53,-175,-26,-37,0,0
25166,25166,0,-300,-19,-19,-53,-175,-26,-37,0,0
25167,25167,0,-300,-19,-19,-53,-175,-26,-37,0,0
25168,25168,0,-300,-19,-19,-53,-164,-6,-37,0,1
25169,25169,0,-300,-19,-19,-53,-164,-6,-37,0,0
25170,25170,0,-300,-19,-19,-53,-164,-6,-37,0,0
25171,25171,0,-300,-19,-19,103,-164,-6,22,0,0
25172,25172,0,-325,-299,-299,103,-164,-6,22,1,0
25173,25173,0,-325,-299,-299,103,-100,8,22,0,1
25174,25174,0,-325,-299,-299,103,-100,8,22,0,0
25175,25175,0,-325,-299,-299,103,-100,8,22,0,0
25176,25176,0,-325,-299,-299,103,-100,8,22,0,0
25177,25177,0,-325,-299,-299,103,-15,26,22,0,1
25178,25178,0,-325,-299,-299,103,-15,26,22,0,0
25179,25179,0,-325,-299,-299,103,-15,26,22,0,0
25180,25180,0,-325,-299,-299,55,-15,26,21,0,0
25181,25181,0,237,-354,-354,55,-15,26,21,1,0
25182,25182,0,237,-354,-354,55,61,46,21,0,1
25183,25183,0,237,-354,-354,55,61,46,21,0,0
25184,25184,0,237,-354,-354,55,61,46,21,0,0
25185,25185,0,237,-354,-354,55,61,46,21,0,0
25186,25186,0,237,-354,-354,55,120,56,21,0,1
25187,25187,0,237,-354,-354,55,120,56,21,0,0
25188,25188,0,237,-354,-354,55,120,56,21,0,0
25189,25189,0,237,-354,-354,-50,120,56,-2,0,0
25190,25190,0,255,-143,-143,-50,120,56,-2,1,0
25191,25191,0,255,-143,-143,-50,180,40,-2,0,1
25192,25192,0,255,-143,-143,-50,180,40,-2,0,0
25193,25193,0,255,-143,-143,-50,180,40,-2,0,0
25194,25194,0,255,-143,-143,-50,180,40,-2,0,0
25195,25195,0,255,-143,-143,-50,257,3,-2,0,1
25196,25196,0,255,-143,-143,-50,257,3,-2,0,0
25197,25197,0,255,-143,-143,-50,257,3,-2,0,0
25198,25198,0,255,-143,-143,17,257,3,7,0,0
25199,25199,0,-200,-68,-68,17,257,3,7,1,0
25200,25200,0,-200,-68,-68,17,341,-36,7,0,1
25201,25201,0,-200,-68,-68,17,341,-36,7,0,0
25202,25202,0,-200,-68,-68,17,341,-36,7,0,0
25203,25203,0,-200,-68,-68,17,341,-36,7,0,0
25204,25204,0,-200,-68,-68,17,389,-50,7,0,1
